starting up
Loading symbols from CSE2-DS-New.elf ... OK
Seen 2253 symbols, stored 1828 function offsets
	address	calls	ms	ms/call	ms/frame	lowest stack	highest stack	function name

	0x2010e70	     1	    3.5623	3.562	0.006	14312	14312	_Z14LoadConfigDataP6CONFIG
	0x2010f8c	     1	    0.0000	0.000	0.000	15352	15352	_Z17DefaultConfigDataP6CONFIG
	0x2044790	     2	    6.8702	3.435	0.011	14328	14328	_Z15CheckFileExistsPKc
	0x20506a4	     1	    0.1272	0.127	0.000	15320	15320	_Z15StartDirectDrawv
	0x204f5b4	     1	    0.0000	0.000	0.000	15320	15320	videoSetMode
	0x204f5ec	    21	    0.0636	0.003	0.000	10184	15320	vramSetBankA
	0x204f62c	    21	    0.0000	0.000	0.000	10184	15320	vramSetBankB
	0x204f66c	    22	    0.0636	0.003	0.000	10184	15320	vramSetBankD
	0x204f6ac	    22	    0.0000	0.000	0.000	10112	15320	vramSetBankE
	0x2031d68	     1	    0.0636	0.064	0.000	15112	15112	_Z10glScreen2Dv
	0x202ff5c	     1	    0.1908	0.191	0.000	15112	15112	glInit
	0x202f730	 11528	    9.5420	0.001	0.016	13760	15312	glEnable
	0x202f774	     1	    0.0000	0.000	0.000	15112	15112	glClearColor
	0x202f7f0	     1	    0.0000	0.000	0.000	15112	15112	glClearPolyID
	0x202f848	     1	    0.0000	0.000	0.000	15112	15112	glClearDepth
	0x202f880	     1	    0.0000	0.000	0.000	15112	15112	glViewport
	0x202f8dc	 40341	   55.9796	0.001	0.093	13728	15320	glMatrixMode
	0x202f918	 17290	   21.5649	0.001	0.036	13728	15312	glLoadIdentity
	0x2030710	     1	    0.0000	0.000	0.000	15112	15112	gluPerspective
	0x2030ab8	     1	    0.0000	0.000	0.000	15112	15112	gluPerspectivef32
	0x202f94c	    31	    0.0000	0.000	0.000	15112	15112	mulf32
	0x2031248	     1	    0.0636	0.064	0.000	15112	15112	glFrustumf32
	0x202f98c	 34590	  140.0127	0.004	0.233	13728	15280	divf32
	0x20314f4	     1	    0.0000	0.000	0.000	15112	15112	gluLookAt
	0x2032850	     1	    0.0000	0.000	0.000	15112	15112	gluLookAtf32
