starting up
Loading symbols from cprofreal1.elf ... OK
Seen 2254 symbols, stored 1826 function offsets
	address	calls	ms	ms/call	ms/frame	lowest stack	highest stack	function name

	0x2010d04	     1	    5.8524	5.852	0.010	0	0	_Z14LoadConfigDataP6CONFIG
	0x2010e20	     1	    0.0000	0.000	0.000	0	0	_Z17DefaultConfigDataP6CONFIG
	0x2043d58	     2	    6.1705	3.085	0.010	0	0	_Z15CheckFileExistsPKc
	0x204f4c8	     1	    4.3257	4.326	0.007	0	0	_Z15StartDirectDrawv
	0x204e478	     1	    0.0000	0.000	0.000	0	0	videoSetMode
	0x204e4b0	    18	    0.0636	0.004	0.000	0	0	vramSetBankA
	0x204e4f0	    18	    0.0000	0.000	0.000	0	0	vramSetBankB
	0x204e530	    27	    0.0636	0.002	0.000	0	0	vramSetBankC
	0x204e570	    24	    0.0636	0.003	0.000	0	0	vramSetBankD
	0x204e5b0	    28	    0.0000	0.000	0.000	0	0	vramSetBankE
	0x2031a34	     1	    0.1272	0.127	0.000	0	0	_Z10glScreen2Dv
	0x202fe04	     1	    0.1908	0.191	0.000	0	0	glInit
	0x202f634	  6184	    0.0000	0.000	0.000	0	0	glEnable
	0x202f678	     1	    0.0000	0.000	0.000	0	0	glClearColor
	0x202f6f4	     1	    0.0000	0.000	0.000	0	0	glClearPolyID
	0x202f74c	     1	    0.0000	0.000	0.000	0	0	glClearDepth
	0x202f784	     1	    0.0000	0.000	0.000	0	0	glViewport
	0x202f7e0	 21637	   22.1374	0.001	0.037	0	0	glMatrixMode
	0x202f81c	  9274	    8.6514	0.001	0.014	0	0	glLoadIdentity
	0x2030f08	     1	    0.0000	0.000	0.000	0	0	gluPerspective
	0x2030bf0	     1	    0.0000	0.000	0.000	0	0	gluPerspectivef32
	0x202f850	    31	    0.0000	0.000	0.000	0	0	mulf32
	0x20304c8	     1	    0.0636	0.064	0.000	0	0	glFrustumf32
	0x202f890	 18558	   13.8041	0.001	0.023	0	0	divf32
	0x2031f38	     1	    0.0000	0.000	0.000	0	0	gluLookAt
	0x2031284	     1	    0.0636	0.064	0.000	0	0	gluLookAtf32
	0x2030078	     2	    0.0636	0.032	0.000	0	0	normalizef32
	0x202f8f8	     2	    0.0000	0.000	0.000	0	0	sqrtf32
	0x202f95c	     2	    0.0000	0.000	0.000	0	0	crossf32
	0x202fac8	     3	    0.0000	0.000	0.000	0	0	dotf32
	0x202fba4	     1	    0.0000	0.000	0.000	0	0	glMaterialShinyness
	0x202fbf8	  3092	    0.1272	0.000	0.000	0	0	POLY_ALPHA
	0x202fc28	  3092	   43.5751	0.014	0.073	0	0	glPolyFmt
	0x204e5ec	     1	    0.0000	0.000	0.000	0	0	glEnable
	0x20309d4	  3091	  194.5293	0.063	0.324	0	0	_Z9glBegin2Dv
	0x202fc64	  6182	    0.0000	0.000	0.000	0	0	glPushMatrix
	0x202fc9c	  6182	    0.0000	0.000	0.000	0	0	glDisable
	0x202fcd4	  9391	   10.5598	0.001	0.018	0	0	glColor
	0x2030750	  3091	   68.3842	0.022	0.114	0	0	_Z8SetOrthov
	0x2030278	  3091	   46.6921	0.015	0.078	0	0	glOrthof32
	0x202fd08	  6241	    7.9517	0.001	0.013	0	0	glBegin
	0x204e630	     1	    0.0000	0.000	0.000	0	0	videoSetModeSub
	0x204e66c	     1	    0.0000	0.000	0.000	0	0	vramSetBankI
	0x203686c	     1	    0.0000	0.000	0.000	0	0	_Z15InitDirectInputv
	0x204f090	    29	    0.4453	0.015	0.001	0	0	_Z19MakeSurface_Genericii9SurfaceID
	0x2050b4c	    19	    0.0000	0.000	0.000	0	0	_Z17ReloadBitmap_FilePKc9SurfaceID
	0x20509d0	    32	 2771.5649	86.611	4.619	0	0	_Z15LoadBitmap_FilePKc9SurfaceIDb
	0x2050210	    29	  431.6158	14.883	0.719	0	0	_Z10LoadBitmapP7__sFILE9SurfaceIDb
	0x2020344	    28	    0.4453	0.016	0.001	0	0	_Z18lodepng_state_initP12LodePNGState
	0x201fa80	    28	    0.3181	0.011	0.001	0	0	_Z29lodepng_decoder_settings_initP22LodePNGDecoderSettings
	0x201db2c	    28	    0.0636	0.002	0.000	0	0	_Z32lodepng_decompress_settings_initP25LodePNGDecompressSettings
	0x201de78	    84	    0.1908	0.002	0.000	0	0	_Z23lodepng_color_mode_initP16LodePNGColorMode
	0x2020228	    56	    0.5725	0.010	0.001	0	0	_Z17lodepng_info_initP11LodePNGInfo
	0x201e0e0	    56	    0.0000	0.000	0.000	0	0	_ZL16LodePNGText_initP11LodePNGInfo
	0x201e134	    56	    0.0000	0.000	0.000	0	0	_ZL17LodePNGIText_initP11LodePNGInfo
	0x201e194	    56	    0.0000	0.000	0.000	0	0	_ZL25LodePNGUnknownChunks_initP11LodePNGInfo
	0x202a12c	    28	    0.2545	0.009	0.000	0	0	_Z14lodepng_decodePPhPjS1_P12LodePNGStatePKhj
	0x202959c	    28	    5.4071	0.193	0.009	0	0	_ZL13decodeGenericPPhPjS1_P12LodePNGStatePKhj
	0x20292b4	    28	    1.1450	0.041	0.002	0	0	_Z15lodepng_inspectPjS_P12LodePNGStatePKhj
	0x2023674	    56	    1.0178	0.018	0.002	0	0	_Z20lodepng_info_cleanupP11LodePNGInfo
	0x20219ec	   112	    0.5089	0.005	0.001	0	0	_Z26lodepng_color_mode_cleanupP16LodePNGColorMode
	0x20218a4	   112	    0.1908	0.002	0.000	0	0	_Z21lodepng_palette_clearP16LodePNGColorMode
	0x2021f38	    56	    0.3817	0.007	0.001	0	0	_ZL19LodePNGText_cleanupP11LodePNGInfo
	0x201f5f8	  1991	   13.4224	0.007	0.022	0	0	_ZL12lodepng_freePv
	0x2022c04	    56	    0.5725	0.010	0.001	0	0	_ZL20LodePNGIText_cleanupP11LodePNGInfo
	0x20216b4	    56	    0.3181	0.006	0.001	0	0	_Z17lodepng_clear_iccP11LodePNGInfo
	0x2020e0c	    80	    0.3181	0.004	0.001	0	0	_ZL14string_cleanupPPc
	0x2020964	    56	    0.3181	0.006	0.001	0	0	_ZL28LodePNGUnknownChunks_cleanupP11LodePNGInfo
	0x20205b8	   471	    1.6539	0.004	0.003	0	0	_Z20lodepng_chunk_lengthPKh
	0x201d9f8	   762	    1.3995	0.002	0.002	0	0	_ZL20lodepng_read32bitIntPKh
	0x201fe0c	   772	    3.1807	0.004	0.005	0	0	_Z25lodepng_chunk_type_equalsPKhPKc
	0x201dc4c	   785	    1.7176	0.002	0.003	0	0	_ZL14lodepng_strlenPKc
	0x201e9b4	    28	    0.3181	0.011	0.001	0	0	_ZL18checkColorValidity16LodePNGColorTypej
	0x201db74	   185	   35.1781	0.190	0.059	0	0	_Z13lodepng_crc32PKhj
	0x2023320	    28	    0.8270	0.030	0.001	0	0	_ZL22lodepng_pixel_overflowjjPK16LodePNGColorModeS1_
	0x2020428	   140	    0.4453	0.003	0.001	0	0	_Z15lodepng_get_bppPK16LodePNGColorMode
	0x202019c	   168	    0.4453	0.003	0.001	0	0	_ZL19lodepng_get_bpp_lct16LodePNGColorTypej
	0x201dedc	   168	    0.3181	0.002	0.001	0	0	_ZL19getNumColorChannels16LodePNGColorType
	0x201d2c4	   162	    0.5725	0.004	0.001	0	0	_ZL14lodepng_mulofljjPj
	0x201d328	   314	    0.3181	0.001	0.001	0	0	_ZL14lodepng_addofljjPj
	0x201f5b8	  1377	   39.7583	0.029	0.066	0	0	_ZL14lodepng_mallocj
	0x201ddd0	   157	    0.1908	0.001	0.000	0	0	_Z24lodepng_chunk_data_constPKh
	0x2028000	    10	    0.3181	0.032	0.001	0	0	_ZL14readChunk_zTXtP11LodePNGInfoPK25LodePNGDecompressSettingsPKhj
	0x201d7bc	 51642	  262.0865	0.005	0.437	0	0	_ZL14lodepng_memcpyPvPKvj
	0x2027c78	    50	    0.9542	0.019	0.002	0	0	_ZL15zlib_decompressPPhPjjPKhjPK25LodePNGDecompressSettings
	0x201d768	    50	    0.0000	0.000	0.000	0	0	_ZL13ucvector_initPhj
	0x20279b8	    50	    1.4631	0.029	0.002	0	0	_ZL24lodepng_zlib_decompressvP8ucvectorPKhjPK25LodePNGDecompressSettings
	0x2027900	    50	    0.5725	0.011	0.001	0	0	_ZL8inflatevP8ucvectorPKhjPK25LodePNGDecompressSettings
	0x2027608	    50	    0.9542	0.019	0.002	0	0	_ZL16lodepng_inflatevP8ucvectorPKhjPK25LodePNGDecompressSettings
